지점ID,매점명,주소,전화번호,위도,경도
281465,순천금당점,전남 순천시 해룡면 장선배기길 284 상가동 1층 104호(청솔아파트),061-903-9409,34.9453570,127.5298827
281464,통영동피랑점,경남 통영시 통영해안로 347,,34.8449911,128.4255519
281244,강서가로공원점,"서울 강서구 가로공원로 191 1층 101호(화곡동,류성빌딩)",,37.5374192,126.8371639
281243,광주하남산단입구점,광주 광산구 용아로 450 1층 104호,062-419-9782,35.1834725,126.8051662
280628,성남을지대후문점,경기 성남시 수정구 수정로578번길 28 1층 (양지동),031-733-7994,37.4618095,127.1662447
280627,서초구청점,서울 서초구 남부순환로347길 24 1층 대림빌딩,,37.4855347,127.0317660
280626,청천푸르지오점,"인천 부평구 세월천로 34 1층 124호(청천동, 대우프라자)",,37.5132007,126.7056506
280625,문정이엠365점,서울 송파구 새말로8길 21-1 1층(문정동),,37.4808555,127.1269002
279755,양평양수리점,경기 양평군 양서면 양수로 149 1층,,37.5441565,127.3195995
278745,퇴계원남한강마트점,경기 남양주시 퇴계원읍 퇴계원로6번길 21 (퇴계원리),,37.6487195,127.1431449
278493,안양신원타워점,"경기 안양시 동안구 전파로 88 1층 105호, 117호, 118호(호계동,신원비젼타워)",,37.3893969,126.9425483
278452,울산함월점,울산 중구 함월22길 7 1층,052-710-5737,35.5784005,129.3176441
277910,삼성전자평택사무3동점,경기 평택시 삼성1로 469 사무3동 2층,,37.0414129,127.0563252
277905,성수코리아IT점,"서울 성동구 성수일로12길 26 1층 106호, 107호",070-4155-4100,37.5478924,127.0538015
277831,안산다문화거리점,경기 안산시 단원구 원본로 25 1층 일부(원곡동),031-491-8989,37.3306908,126.7926899
277795,화성향남2지구점,경기 화성시 향남읍 상신하길로298번길 11 106호,031-353-3305,37.1147838,126.9110534
277794,석촌호수서호입구점,서울 송파구 삼학사로19길 2 1층 101호(삼전동),02-6268-8842,37.5058980,127.0969595
277400,서울중구청점,서울 중구 창경궁로 21 104호(예관동),,37.5644987,126.9980157
277399,전주신라스테이점,전북특별자치도 전주시 완산구 현무1길 10-15 1층(경원동3가),063-231-6161,35.8199463,127.1483253
277398,용인수지고점,경기 용인시 수지구 수풍로 93 다온빌에이동 1층 101호,,37.3321265,127.0933370
276972,원주개운점,강원특별자치도 원주시 남원로 612 (개운동),,37.3378389,127.9514842
276971,광주양산우미점,광주 북구 양산로 15 1층 101호(양산동),062-417-7070,35.2110787,126.8761514
276593,천안종합운동장점,충남 천안시 서북구 백석3로 43,,36.8218780,127.1164046
276378,나주루멘하임점,"전남 나주시 그린로 325 1동 102호(빛가람동, 부영프라자)",061-334-3111,35.0155583,126.7947420
275820,시흥물왕호수점,"경기 시흥시 산현마을길 58 1층 102호(산현동, 청담트윈스2)",070-4032-7457,37.3764448,126.8452128
275701,천안두정먹자골목점,"충남 천안시 서북구 두정로 168 1층 103호(두정동, 은혜빌딩)",041-418-9645,36.8335645,127.1354790
275602,청주비하효성점,충북 청주시 흥덕구 2순환로1050번길 13-1,043-902-7327,36.6408190,127.4214740
275598,광주상무시민공원점,"광주 서구 상무공원로 92 101호(치평동, 대주상가)",062-385-3526,35.1524001,126.8431960
275467,삼척정상점,"강원특별자치도 삼척시 동해대로 4044-10 1층(정상동, 꿈꾸는뜰)",,37.4415283,129.1786064
275463,창원힐스테이트더퍼스트점,경남 창원시 성산구 대상중앙로 10 일원  대상힐스테이트창원더퍼스트 128동 102호,055-715-1779,35.2227861,128.6701179
275454,완주이서점,전북특별자치도 완주군 이서면 이서로 90-7 1층 가운데 호실,063-222-4213,35.8201958,127.0268689
275453,안양중앙시장점,경기 안양시 만안구 냉천로193번길 12 1층 일부호(안양동),031-466-1727,37.3970468,126.9188539
275451,과천래미안슈르점,경기 과천시 별양로 28 상가동 1층 1010호,070-7798-5129,37.4211738,126.9912596
275366,전주삼천남양점,전북특별자치도 전주시 완산구 삼천천변1길 34 111동 106호,,35.7950073,127.1144528
274734,수내돌고래시장점,"경기 성남시 분당구 돌마로356번길 3 (수내동, 그랜드빌딩)",031-715-3872,37.3697159,127.1233299
274732,영암삼호현대점,전남 영암군 삼호읍 신항로 120 1층,061-461-5555,34.7484991,126.3759252
274592,곤지암삼리점,경기 광주시 곤지암읍 평촌길 30-3 1층,,37.3566143,127.3258921
274591,국회의사당역점,서울 영등포구 국회대로 780 1층 118호,,37.5298309,126.9192656
274583,청주강내점,충북 청주시 흥덕구 강내면 가로수로 538 1,043-904-4900,36.6235748,127.3599452
274574,경산펜타힐즈점,"경북 경산시 펜타힐즈2로 65 1층 112호 (중산동, 펜타힐즈더원)",070-4797-4944,35.8295195,128.7199445
274079,화성석포점,경기 화성시 팔탄면 석포로 10-2 2층 일부호,,37.1316435,126.8426096
274013,제주일도인제점,제주특별자치도 제주시 고마로 101 1,,33.5053814,126.5414153
274007,광주금호중학교점,광주 서구 금부로 97 1층 (금호동),062-373-3777,35.1398737,126.8596008
273901,파주별하람마을점,경기 파주시 가람로 121-1 1층 103호,,37.7401758,126.7600813
273900,약수역2번출구점,서울 중구 다산로 147 1층(신당동),02-3298-5013,37.5569748,127.0116184
273899,동탄숨마데시앙점,"경기 화성시 동탄신리천로3길 71 상가동 105, 106호",,37.1818978,127.1359405
273588,병점역복합타운점,"경기 화성시 병점노을4로 19 1층 117호(병점동, 골든스퀘어1)",,37.2055091,127.0308901
273587,광주수완성덕점,광주 광산구 장덕로 48 1층 101호(장덕동),062-961-4090,35.1946578,126.8149546
273144,영덕군청점,경북 영덕군 영덕읍 군청길 109,054-733-1255,36.4143395,129.3673403
267563,창원동정점,"경남 창원시 의창구 서상로 33 (서상동, 오성상가)",,35.2630950,128.6165968
267560,판교역점,경기 성남시 분당구 대왕판교로606번길 31 1층 118호,,37.3966909,127.1106823
267559,광주전남대생활관점,광주 북구 용봉로 77 전남대학교생활관공용동 1층 (9호관),062-716-5930,35.1778193,126.9080453
266875,원주단계공원점,강원특별자치도 원주시 무실로 174 (단계동),033-735-2359,37.3412770,127.9397891
266874,천안삼거리공원점,충남 천안시 동남구 충절로 369 113,041-415-1774,36.7876065,127.1669611
266762,대구알파시티점,대구 수성구 알파시티2로 24 102호,053-218-2118,35.8395789,128.6918323
266761,이문래미안라그란데점,"서울 동대문구 이문로35길 12 근린생활시설C동 110호(이문동,래미안라그란데아파트)",070-4010-7114,37.5997704,127.0612623
266760,천안4공단점,충남 천안시 서북구 직산읍 상덕로 6 1층 105호,070-4231-1422,36.8680102,127.1181819
266697,진해마천공단점,"경남 창원시 진해구 남영로 557 (남양동, 오예통통집)",070-4333-8874,35.1196740,128.7816464
266696,광주운천역점,광주 서구 상무민주로5번길 21 1층 109호(쌍촌동),062-714-3372,35.1505870,126.8565051
265962,잠실본동점,서울 송파구 백제고분로18길 3,,37.5047580,127.0850659
265956,대전관저월드프라자점,대전 서구 관저북로 25 104호,042-719-8227,36.3039870,127.3367406
265946,석전KS마트점,경남 창원시 마산회원구 북성로 262 (석전동),,35.2300932,128.5677020
265945,대구동성로중앙제일점,대구 중구 중앙대로 394 1층(남일동),070-8872-2002,35.8683198,128.5940020
265887,성신여대입구역6번출구점,서울 성북구 아리랑로 6 (동선동4가),,37.5933315,127.0165685
265322,총신대입구역1번출구점,서울 서초구 동작대로 128 2층(방배동),02-3478-9033,37.4878858,126.9826281
265320,컴포즈커피 나주남평로중앙점,전남 나주시 남평읍 남평2로 54-1 좌측코너,061-930-8891,35.0470340,126.8420140
265316,삼성전기세종사업장점,세종특별자치시 연동면 삼성길 25 삼성전기 세종사업장 한울림프라자 2층 일부,,36.5406447,127.3342958
265315,정읍시기코아루점,전북특별자치도 정읍시 정읍남로 1393 (시기동),063-536-8542,35.5586339,126.8546190
264561,익산원광대점,전북특별자치도 익산시 무왕로 894 103호(신동),063-841-1122,35.9635474,126.9577435
264560,경동시장사거리점,서울 동대문구 고산자로 420 힐스테이트 청량리 메트로블 125호,,37.5771451,127.0387062
264559,전주서신쌍용점,"전북특별자치도 전주시 완산구 당산로 11-1 상가2동 1층 1호, 2호(서신동, 쌍용서신아파트)",,35.8327902,127.1093761
264558,엄궁초점,부산 사상구 엄궁북로 23 1층(엄궁동),051-714-5657,35.1286312,128.9728878
264557,신포로데오점,인천 중구 개항로 9-1 1층(중앙동4가),,37.4714043,126.6238024
263818,인천계산도두리점,인천 계양구 용종로 2 108,070-8866-1103,37.5340374,126.7415048
263459,안산와동점,경기 안산시 단원구 와동공원로 134 1층 일,031-411-1333,37.3433897,126.8215996
263075,인천정석빌딩점,인천 중구 서해대로 366 정석빌딩 신관 1층,032-710-5349,37.4596101,126.6326487
263072,인천작전행운점,인천 계양구 장제로 708 103호,032-282-9090,37.5310293,126.7342646
262682,은평대림시장점,서울 은평구 응암로 180 (응암동),02-6956-4589,37.5880711,126.9170475
262678,행주산성나루터점,경기 고양시 덕양구 행주산성로 190 1층(행주외동),,37.6026232,126.8152261
262643,춘천강원대공과대학점,강원특별자치도 춘천시 백령로 67 1층,,37.8694916,127.7376824
262021,대구교동점,대구 중구 국채보상로123길 16 1층,070-8722-8851,35.8713960,128.5975991
261942,횡성알프스점,강원특별자치도 횡성군 우천면 한우로 1270 (우항리),,37.4595304,128.0666067
261911,연대서문점,서울 서대문구 성산로17길 39 (연희동),,37.5639684,126.9329250
261909,수원못골시장점,경기 수원시 팔달구 중부대로39번길 6 1층,031-254-0100,37.2755002,127.0214159
261907,양주덕계역점,"경기 양주시 덕계로4길 4 104호(덕계동,케이타워)",,37.8176828,127.0570376
261906,울산선암점,울산 남구 두왕로154번길 29 1층(선암동),052-265-0725,35.5144578,129.3103036
261905,의왕스마트시티퀀텀점,경기 의왕시 광진말로 54 S동 127호,031-8058-8085,37.3210324,126.9405957
261084,창녕영산점,경남 창녕군 영산면 영산장마로 745 1층,055-521-1056,35.4575089,128.5253464
260758,광양태인점,전남 광양시 삼봉산로 5 D동 3호(태인동),061-795-0808,34.9351538,127.7458176
259470,군산나운영창점,"전북특별자치도 군산시 의료원로 131 상가2동 101호(나운동, 영창아파트)",063-468-1526,35.9577556,126.7015413
259469,대천해수욕장점,충남 보령시 머드광장로 14 (신흑동),,36.3160020,126.5125679
259468,학익시티오씨엘1단지점,"인천 미추홀구 학익로 116 126동 1층 (학익동, 시티오씨엘1단지)",070-4833-6173,37.4419511,126.6431760
259154,전주신일강변점,전북특별자치도 전주시 완산구 강변로 98-1 1층,,35.7999752,127.1138533
259153,청주율량사천점,충북 청주시 청원구 율봉로 97 104호,043-216-3069,36.6669045,127.4801068
259129,천안직산점,충남 천안시 서북구 직산읍 아랫말1길 17 (삼은리),041-582-0101,36.8775700,127.1505300
259078,청주커넥트현대점,충북 청주시 흥덕구 2순환로 1225 6층 616호,,36.6269924,127.4306879
259075,안산목내점,경기 안산시 단원구 별망로 453 1층 104호,070-7537-3259,37.3040413,126.7754515
258691,전주상산타운점,전북특별자치도 전주시 완산구 거마평로 121 상가 2동 1층 102호,063-221-6008,35.8033390,127.1165647
258453,인천송도유원지점,인천 연수구 인권로 11 1층,070-4066-3531,37.4188397,126.6515341
258261,서울올림픽파크포레온점,"서울 강동구 양재대로 1319 1층 103호(성내동, 대성빌딩)",,37.5241988,127.1344526
258216,울산삼호점,울산 남구 어은로 33-1 1층(무거동),052-277-0326,35.5522308,129.2744863
258157,마산산호베스티움점,"경남 창원시 마산합포구 회원천북길 491 1층 103호(산호동, 산호베스티움상가)",070-8230-0915,35.2094587,128.5820532
258156,속초수복탑사거리점,강원특별자치도 속초시 중앙로 216 1층,,38.2096986,128.5933530
258155,천안성정롯데점,충남 천안시 서북구 성정두정로 12,041-903-1115,36.8265708,127.1415119
258154,성남법원점,경기 성남시 중원구 산성대로 456-1 1층 전체(금광동),070-7626-5244,37.4523631,127.1606198
258149,시흥옥구점,"경기 시흥시 정왕대로 64 129,130호(정왕동, 메가쇼핑몰)",031-498-0915,37.3542659,126.7235246
257107,원주엔터비즈타워점,강원특별자치도 원주시 입춘로 45 1층 148호,,37.3277309,127.9785529
257104,의정부부대찌개거리점,경기 의정부시 태평로133번길 20 1층(의정부동),,37.7443286,127.0499988
257100,광명트리우스점,경기 광명시 광이로 96 2단지내 상가 3동 104호,02-6953-6565,37.4855425,126.8613589
256466,금곡북부소방서점,부산 북구 효열로 275 1층(금곡동),051-363-8331,35.2672113,129.0183529
256261,경희외국어대학관점,경기 용인시 기흥구 덕영대로 1732 외국어대학관내 1층,,37.2432813,127.0798263
256128,목동문화체육센터점,서울 양천구 목동중앙본로 68-1 목동근생및다가구주택 1층 좌측점포,02-2644-4550,37.5419157,126.8693176
256061,신림신화교점,서울 관악구 신림로 199 1층(신림동),,37.4755356,126.9362061
256060,평택브리티시고덕점,경기 평택시 고덕국제대로 77 1314호,,37.0443655,127.0419030
255919,에코델타푸르지오점,부산 강서구 에코델타1로 66 상가동 105호,070-8691-3585,35.1476656,128.9147022
255918,서천장항점,충남 서천군 장항읍 장서로 66 (창선2리),,36.0136863,126.6988753
255917,광주흑석중흥점,광주 광산구 풍영로145번길 15 상가동 1층 101호,,35.1838839,126.8130915
255859,이천관고시장점,경기 이천시 영창로 162 1층,,37.2815738,127.4405110
255855,경희전자국제점,경기 용인시 기흥구 덕영대로 1732 108호 전자정보대학관,070-8287-1564,37.2432813,127.0798263
255850,인천논현중앙점,인천 남동구 논고개로136번길 5-11,070-4694-2084,37.4039045,126.7245325
255459,나주동강농협주유소점,전남 나주시 동강면 남악동강로 1432 (월양리),061-335-5182,34.9299004,126.5670558
254795,일산문화광장점,"경기 고양시 일산동구 중앙로1275번길 38-10 1층 103호(장항동, 우림로데오스위트)",031-932-0699,37.6599463,126.7709599
254794,마곡아이파크디어반점,"서울 강서구 마곡중앙8로7길 57 B동 1층 111호(마곡동, 마곡아이파크 디어반)",070-7585-6865,37.5661927,126.8392747
254616,동탄영천골드프라자점,"경기 화성시 동탄영천로 81-5 1층 111호(영천동, 골든프라자)",,37.2096788,127.1029740
254615,대구수성보성타운점,대구 수성구 수성로 412 117동 102호,070-7777-5792,35.8626522,128.6151594
254614,평택칠원하모니점,경기 평택시 새말로 17 1층(칠원동),031-665-1752,37.0284532,127.1036856
254552,나주송월부영점,전남 나주시 나주로 41-17 상가동 101호,061-331-8111,35.0241304,126.7150375
254549,광주운암미라보점,"광주 북구 서강로 155 상가동 9호, 20호(운암동, 미라보아파트)",062-522-1106,35.1849636,126.8752263
254021,구서역점,부산 금정구 구서로 11,0503-5260-9495,35.2465894,129.0896267
253993,동대신동점,부산 서구 구덕로315번길 10-8 1층,051-253-0901,35.1122438,129.0162013
253987,부산시민회관점,부산 동구 조방로 14 125호,0507-1315-1614,35.1387523,129.0634901
253986,부산대2호점,부산 금정구 금강로 248-10,051-581-1102,35.2300390,129.0854165
253796,원주무실제일풍경채점,강원특별자치도 원주시 무실로 353-2 근린생활시설 2동 111호,,37.3307040,127.9323054
253795,익산삼기농협로컬푸드점,전북특별자치도 익산시 삼기면 하나로 1334,8:30 - 20:00,36.0374015,126.9833492
253377,아산온양농협하나로점,충남 아산시 남부로 246,041-533-0450,36.7703549,127.0093961
253372,숭의오거리점,인천 미추홀구 독배로 437 101호(가우디),,37.4585315,126.6486758
252594,양평용문점,경기 양평군 용문면 용문로 356 (다문리),031-771-8410,37.4841568,127.5933808
252593,신검단중앙역점,인천 서구 고산후로 222 푸리마더타워 103호,032-563-2722,37.6034746,126.6988930
252508,아산세교행복타워점,충남 아산시 배방읍 세교중앙로 36 행복타워2 107호,041-534-1210,36.7788849,127.0938704
252480,광주신안점,광주 북구 무등로202번길 42 (신안동),062-522-7111,35.1633612,126.9045476
252470,안성죽산점,경기 안성시 죽산면 죽주로 242 (죽산리),,37.0744468,127.4222460
252468,부천대사거리점,경기 부천시 원미구 장말로 314-3 1층,,37.4908740,126.7769012
252462,서천특화시장점,충남 서천군 서천읍 충절로 34 (군사리),,36.0753642,126.6863914
252243,인천루원복합청사점,인천 서구 봉오재3로 130 106호,,37.5270977,126.6738653
252242,인하대문화거리점,인천 미추홀구 인하로 73 (용현동),070-4632-7168,37.4514661,126.6564939
252027,대림대학교홍지관점,경기 안양시 동안구 임곡로 29 대림대학 종합강의동(홍지관) 2층,,37.4033679,126.9297887
251239,울산효문공단점,울산 북구 효자로 107-1 1층,,35.5708954,129.3672196
251238,군산지곡점,전북특별자치도 군산시 신지길 11 1층 102호(지곡동),063-468-7111,35.9585780,126.7056219
251237,대전배재대학교점,"대전 서구 배재로 155-40 (도마동, 배재대학교)",,36.3202020,127.3652283
251192,창원대학교점,경남 창원시 의창구 퇴촌로 41 1층,055-286-3534,35.2422145,128.6896450
251003,파주상지석점,경기 파주시 운정로 139 1층,,37.7214425,126.7811646
251002,거제상동다이소점,경남 거제시 상동5길 91 1층,055-950-3073,34.8628158,128.6315448
251001,인천대공원점,인천 남동구 무네미로 238,032-467-0500,37.4585939,126.7519672
250137,일산차병원점,경기 고양시 일산동구 중앙로 1205 일산차병원 2층 208호실,070-8899-5411,37.6541317,126.7757374
249791,킨텍스역꿈에그린점,경기 고양시 일산서구 킨텍스로 240 판매시설동 1층 128호,031-819-0101,37.6659013,126.7504499
249349,군포삼성마을점,경기 군포시 삼성로20번길 4-16 (부곡동),031-392-5356,37.3368313,126.9339077
249347,해방촌오거리점,서울 용산구 신흥로 89,,37.5456788,126.9854509
249346,해방촌오거리점,서울 용산구 신흥로 89,,37.5456788,126.9854509
249342,철산자이더헤리티지점,경기 광명시 시청로 70 철산자이더헤리티지 상가2-10호,,37.4820053,126.8712611
248880,충북영동점,충북 영동군 영동읍 중앙로 41-1,043-742-6811,36.1756710,127.7777632
248879,홍제폭포점,서울 서대문구 연희로 262-37,,37.5818460,126.9367823
248856,무안오룡우미린점,"전남 무안군 일로읍 오룡번영1로 96 (오룡리, 오룡 우미린 더 시그니처 2차)",,34.7963596,126.4843630
248847,춘천애막골점,강원특별자치도 춘천시 후석로186번길 10 (석사동),033-262-5654,37.8675422,127.7531118
248843,용인호수마을점,경기 용인시 기흥구 평촌1로2번길 6-1,,37.2846855,127.1535764
248840,원주천매사거리점,강원특별자치도 원주시 남원로 441-6 1층,,37.3257661,127.9405967
248491,세종아름송남타워점,"세종특별자치시 보듬3로 154 1층 112호(아름동, 송남빌딩)",044-998-0486,36.5122701,127.2426441
248113,진주도동점,경남 진주시 하대로 83 101호,055-752-0101,35.1932807,128.1207604
248111,광주유스퀘어터미널점,광주 서구 무진대로 904 유스퀘어 내 1층,062-352-6232,35.1606026,126.8798482
248106,전주에코스위첸점,전북특별자치도 전주시 덕진구 세병로 174-19 103호,063-909-6165,35.8802653,127.1340302
248103,시흥장현코리아프라자점,경기 시흥시 장현능곡로 1 102호,,37.3730302,126.7909746
248028,홈플러스월드컵점,"서울 마포구 월드컵로 240 2층 푸드코트 내 XE, y31호",02-304-9991,37.5682885,126.8972730
248024,원주치악회관점,강원특별자치도 원주시 치악로 1692 치악회관 1층,,37.3347576,127.9590533
247374,인천주안남초점,인천 미추홀구 인주대로418번길 10,070-4647-4556,37.4506684,126.6829057
247294,서귀포위미점,제주특별자치도 서귀포시 남원읍 태위로 99 (위미리),,33.2747774,126.6580082
246673,병점송화초점,경기 화성시 병점1로 66-12 1층 101-2호,070-8657-3327,37.2021399,127.0415549
246672,광주경안중앙점,"경기 광주시 중앙로 88 1층(역동, 대영빌딩)",070-8777-0912,37.4078392,127.2594954
246671,울산반구점,울산 중구 화합로 431 (반구동),052-937-1127,35.5633531,129.3364950
246666,목포옥암한라비발디점,"전남 목포시 남악2로22번길 10 상가동 102호(옥암동, 한라비발디)",061-984-0081,34.8068037,126.4548319
246487,안성롯데캐슬점,경기 안성시 대덕면 서동대로 4723 (신령리),070-7798-1353,37.0131929,127.2255919
246411,대전선화하늘채점,대전 중구 대종로594번길 51 120호,042-222-8878,36.3365144,127.4195292
246408,평택세무서점,경기 평택시 죽백5로 27 105호,031-654-4135,37.0038079,127.1189249
245911,순천대점,"전남 순천시 중앙로 255 48동 천연물신약연구소 1층(석현동, 순천대학교)",061-752-2688,34.9689183,127.4809015
245909,대전신성자운대점,대전 유성구 유성대로1184번길 14,070-8680-1211,36.3936251,127.3521899
245670,양재영동점,서울 서초구 바우뫼로41길 16,070-7720-3556,37.4812690,127.0413220
245668,검단법원광장점,인천 서구 이음4로 10 102호 (검단KR법조타워2),032-202-4800,37.5909337,126.7104253
245286,충주호암한신더휴점,충북 충주시 호암토성2로 7 (호암동),070-8672-9658,36.9558005,127.9350097
245141,동평화시장점,"서울 중구 청계천로 318 동평화1층 가동 110-2, 111-2",02-2231-7567,37.5693352,127.0137717
245022,포천선단대진대점,경기 포천시 호국로 997 영일빌딩 1층,070-7537-3650,37.8540257,127.1660688
244979,판교원마을점,경기 성남시 분당구 운중로 239 도메인타워 104호 (판교동),070-8211-0653,37.3898280,127.0898262
244360,김해시청점,경남 김해시 호계로422번길 18-1 (부원동),055-724-3901,35.2282200,128.8872068
244356,순천왕지점,전남 순천시 왕궁길 43 1층,061-721-0111,34.9547700,127.5320729
244349,서산해미점,충남 서산시 해미면 남문2로 154 1층,,36.7104609,126.5478124
244348,서울공항점,경기 성남시 수정구 대왕판교로 1210,,37.4380822,127.1069420
244347,검단모아엘가그랑데점,인천 서구 이음4로 93 2317동 105호,070-8698-0399,37.5936810,126.7192390
244346,동탄장지점,경기 화성시 동탄장지천6길 62 1층,031-375-4529,37.1579869,127.1083083
244344,용인모현에듀프라자점,경기 용인시 처인구 모현읍 백옥대로2476번길 17 애듀프라자 108호,031-338-8333,37.3447190,127.2527614
243355,전남담양매화점,전남 담양군 담양읍 매화길 10 1층,061-383-8111,35.2984962,126.9990825
243163,진해중원로타리점,경남 창원시 진해구 백구로 55 1층,070-4044-7088,35.1497253,128.6590013
243017,평창대관령점,강원특별자치도 평창군 대관령면 대관령로 92 1층,,37.6725860,128.7064341
242896,동탄더퍼스트타워점,경기 화성시 동탄기흥로 614 110호,031-8043-3145,37.2150877,127.0949923
242837,광양동부농협로컬푸드점,전남 광양시 옥곡면 신금로 110 1층 컴포즈커피,061-772-7786,34.9720331,127.7207921
242760,진주주약점,경남 진주시 진주대로815번길 12-2 1층일부(주약동),055-921-4433,35.1734336,128.0926825
242646,광교플렉스데시앙점,경기 수원시 영통구 창룡대로256번길 50 B1층 L7호,,37.2953842,127.0389645
242251,원주축협본점,강원특별자치도 원주시 원일로 233 (학성동),,37.3565672,127.9430212
242247,강원인제점,강원특별자치도 인제군 인제읍 비봉로 28 (상동리),,38.0668528,128.1734778
242246,울산미즈병원점,울산 남구 남산로 2 1층,070-7543-0597,35.5523152,129.2709080
241781,방학동부점,서울 도봉구 도봉로145길 14,02-6014-3558,37.6647008,127.0418014
241633,서울숲한라시그마밸리점,서울 성동구 뚝섬로 385-32 (성수동2가),02-462-8911,37.5393931,127.0543982
241575,광주본촌광신대점,광주 북구 양산택지로 105 1층,,35.2151515,126.8825802
241574,세종봉암점,세종특별자치시 연서면 당산로 358 1층,044-866-1043,36.5633489,127.2832484
241001,원주흥업점,강원특별자치도 원주시 흥업면 남원로 80 1층,033-900-1979,37.3030862,127.9203600
241000,하남풍산점,경기 하남시 덕풍동로 111 113호,031-791-0522,37.5512053,127.2084564
240508,중구이테크타워점,서울 중구 퇴계로 264 1층,02-2138-1517,37.5625592,127.0010245
240504,원주송문사거리점,강원특별자치도 원주시 소초면 치악로 2318 1동,070-8211-0638,37.3821497,127.9745313
240496,광주충장NC점,광주 동구 충장로46번길 15 1층(충장로4가),062-222-6058,35.1493413,126.9121180
239694,일산동구청점,경기 고양시 일산동구 정발산로 47 웅신아트 115호,,37.6577626,126.7737463
239550,전남화순농협하나로마트점,전남 화순군 화순읍 쌍충로 74 1층,061-373-8111,35.0587937,126.9822225
