지점ID,매점명,매점주소,전화번호
1903623,천안신불당CGV점,충청남도 천안시 서북구 번영로 201 (불당동) 102~105호,041-555-1484
1903402,광안역점,부산 수영구 광안동 144-11,051-753-2003
1903557,광명역사점,"경기도 광명시 광명역로 21 (일직동, 고속철도광명역) 광명역 서편 1층",02-898-1584
1903395,대구평리점,대구광역시 서구 서대구로 160-1 (평리동) 투썸플레이스,053-555-5588
1903535,대전용산호반점,대전 유성구 용산동 740번지   103호~ 105호,042-671-1002
1903496,인천호구포역점,"인천광역시 남동구 호구포로 220 (논현동, 명진프라자) 108, 109, 110호",070-7659-0235
1903550,구미확장단지점,경상북도 구미시 산동면 신당리1462,054-473-7000
1903610,경북영주점,경상북도 영주시 대학로 8-0 투썸플레이스 (휴천동),054-638-2333
1903559,평택안중점,경기도 평택시 안중읍 안현로서8길 31-4 (현화리) 1층,031-682-3999
1903528,동탄한림대병원점,경기 화성시 삼성1로 144-9,031-8050-2533
1903430,부산대남점,부산광역시 남구 황령대로 486 (대연동) 10-2,051-987-9797
1903468,해남읍점,전라남도 해남군 해남읍 교육청길 38 (써던힐) 1층,061-532-1700
1903502,청주오창2산단점,충북 청주시 청원구 오창읍 2산단로 124,043-218-4518
1903042,청주중흥마을점,"충청북도 청주시 상당구 중흥로 201 (용암동, 연세빌딩) 투썸플레이스",043-294-3474
1903501,수원도이치오토월드점,"경기도 수원시 권선구 권선로 308-5 (고색동) 도이치오토월드 121호,122호",031-5174-0580
1903405,투썸2.0강남,서울 강남구 역삼동 808-5 1층,02-6953-0390
1903481,부산온천SK점,"부산광역시 동래구 온천장로 65번길 9 (동래3차 SK뷰 상가) 112,113,114,115",051-557-7779
1903489,서대문연희점,서울특별시 서대문구 연희로 105 (연희동) 1층~2층,02-332-1470
1903500,광주일곡점,광주광역시 북구 양일로 331 (일곡동) 1층,062-574-5525
1903469,세종해밀점,"세종특별자치시 해밀3로 43 (해밀동, 스카이드림) 스카이드림 1층",044-868-2550
1903487,대구황금점,대구 수성구 청수로 107 1층(황금동),053-765-1777
1903488,김천덕곡대로점,경상북도 김천시 영남대로 2034 (덕곡동) 1층,054-911-3355
1903499,화순도곡점,전라남도 화순군 도곡면 지강로 519,061-372-3377
1903518,대구수성점,대구광역시 수성구 달구벌대로 2333(수성동4가),053-745-1160
1903540,용인기흥구청점,"경기도 용인시 기흥구 구갈로60번길 5-1 (구갈동,다빈치 프라자) 1F,2F 투썸플레이스",031-693-6162
1903480,신월사거리점,서울특별시 양천구 남부순환로 352 (신월동) 1층,070-8711-7220
1903498,지축역엘스페이스점,경기도 고양시 덕양구 지정로 20 북한산엘스페이스 104호~112호,02-381-9214
1903532,서울대입구역점,서울 관악구 관악로 157,02-882-5474
1903506,여수시청로점,전라남도 여수시 시청로 119 (선원동),070-4224-1118
1903125,치악휴게소점,강원특별자치도 원주시 신림면 치악로 416 치악휴게소 내,010-3661-2022
1903410,인천원당점,인천 서구 원당대로 866,070-7576-1074
1903392,청주오스코점,충북 청주시 흥덕구 오송읍 만수리 275-5 (청주오스코),043-233-5325
1903457,역촌역점,서울 은평구 역촌동 27 -1,02-356-6122
1903508,수원호매실점,"경기도 수원시 권선구 금곡로102번길 45 (금곡동) 1층,2층",031-297-8900
1903412,부산강서자이에코델타점,"부산광역시 강서구 에코델타1로 24 (강동동, 강서자이에코델타) 강서자이에코델타 상가동 108호, 109호",051-977-1216
1903384,선유도역점,서울특별시 영등포구 양평로22길 10 1층 (양평동4가),02-2678-5908
1903420,가산하이엔드클래식점,서울특별시 금천구 벚꽃로24길 26 (가산동) 1층,02-2085-0155
1903446,진천터미널점,충북 진천군 진천읍 중앙북1길 3,043-537-8700
1903450,부산연산점,"부산광역시 연제구 반송로 30 (연산동,석산빌딩)",051-852-8338
1903434,성남금광금빛점,경기도 성남시 중원구 광명로 320 (금광동) B1~1F,031-745-7774
1902947,경북의성점,경상북도 의성군 의성읍 의성사곡로 4  202호,054-833-6068
1903240,병점복합타운점,경기도 화성시 병점노을7로 7 (진안동) 병점아르스비아 1층 2층,031-222-7780
1903433,오산세마역점,경기도 오산시 세마역로41번길 58,031-377-2406
1903242,파주초롱꽃마을점,"경기도 파주시 양지로 111 (동패동) 초롱프라자 110호, 111호, 112호",031-942-2248
1903436,인천논현해오름호수점,인천광역시 남동구 에코중앙로140번길 21 (논현동) 1층,032-433-4543
1903417,홍제삼거리점,"서울특별시 서대문구 통일로 397 (홍제동, 인왕산 한신휴플러스) B403~B408호",02-6952-8363
1902743,둔촌포레온스테이션5점,"서울특별시 강동구 양재대로 1360 (둔촌동, 포레온스테이션5) B2 11호",02-2138-2379
1903373,대구명덕점,"대구광역시 남구 명덕로 148 (대명동, 이랜드PEER대명2단지) 203동(상가동) 투썸플레이스",053-657-0575
1903435,송도국제업무지구역점,"인천광역시 연수구 워터프런트로 150 (송도동, 더샵송도아크베이) 301동 106호, 107호",032-831-4679
1903368,경복아파트사거리점,"서울특별시 강남구 봉은사로 302 (역삼동, 역삼아모제SK리더스뷰) 1층",02-6953-2551
1903404,청구역점,"서울특별시 중구 다산로 185 (신당동, 신흥빌딩) 1층",02-2238-6916
1903122,현대차남양연구소점,경기도 화성시 남양읍 현대연구소로 150 연구소 내 직원 및 방문객만 이용가능/외부인 출입 불가,010-4335-9203
1903396,평택브리티시고덕점,"경기도 평택시 고덕국제대로 77 (고덕동, 힐스테이트고덕센트럴) 1121 1122 1123 1124호",031-666-3222
1903389,동탄여울공원점,경기도 화성시 동탄기흥로 447-32 (오산동) 104 105 106 107 108호,031-372-1048
1903286,천안독립기념관점,충청남도 천안시 동남구 목천읍 독립기념관로 1 (독립기념관) 투썸플레이스,041-557-0468
1903335,안산한대앞역점,"경기도 안산시 상록구 광덕1로 382 (이동,덕성프라자) 경기도 안산시 상록구 이동 716-1",031-409-3377
1903380,대구월광수변공원점,대구광역시 달서구 월곡로 14 (도원동) 1층 전체,053-288-8020
1903378,동탄호수공원점,경기도 화성시 동탄순환대로5길 5-24 (송동) 1층 투썸플레이스 동탄호수공원점,031-375-7229
1903354,부천범박점,경기도 부천시 괴안동 254-5 (양지빌딩),032-348-2300
1903356,광명스마트타운점,경기도 광명시 일직로 79 (일직동) 투썸광명스마트타운,02-899-0020
1903371,전주혁신도시점,전라북도 완주군 이서면 기지로 43 (갈산리) 1층 투썸플레이스 전주혁신도시점,063-236-2070
1903374,의정부낙양점,경기도 의정부시 민락로 388 (낙양동) 삼도플라자 101호,031-852-3111
1903408,강남자곡점,"서울특별시 강남구 자곡로 201-0  (자곡동, 강남더샵라르고)",02-6247-2011
1903418,용인보정점,"경기도 용인시 기흥구 죽전로 53 (보정동, 야후빌딩) 1층~2층",031-897-1210
1903293,군산역점,전북특별자치도 군산시 역전로 29 (내흥동) 1층,063-446-2228
1903314,종로평창동점,서울특별시 종로구 평창문화로 169 (평창동) 1층,02-379-0112
1903080,인스파이어리조트점,"인천광역시 중구 공항문화로 127 (운서동, 인스파이어) 인스파이어몰 내",070-4155-0315
1903159,일산뉴코아아울렛점,"경기도 고양시 일산동구 중앙로 1206 (마두동, 뉴코아백화점일산점) 뉴코아아울렛 일산점 1층",031-902-5668
1903250,평창올림픽플라자점,강원도 평창군 대관령면 올림픽로 177 (횡계리) 101호,033-333-7877
1902970,청주오송2지구점,"충청북도 청주시 흥덕구 오송읍 오송생명7로 148 104호,105호,203호,204호(영광프라자)",043-233-8350
1902960,경북고령점,경상북도 고령군 대가야읍 우륵로 16-1 투썸플레이스,054-954-5867
1903355,춘천삼천점,강원특별자치도 춘천시 선들길 28-11 (삼천동) 1층,033-243-0430
1903333,안양호계사거리점,경기도 안양시 동안구 경수대로 564 (호계동) 1층,031-429-2422
1903349,숙명여대점,"서울특별시 용산구 청파로47길 49 (청파동3가, 캠퍼스프라자) 1층",02-702-6792
1903313,신정역점,"서울특별시 양천구 오목로 147 (신정동, 제이클래스목동주상복합) 1층 투썸플레이스 신정역점",070-4896-3939
1903283,인천구월아시아드점,"인천광역시 남동구 선수촌공원로 36 (구월동,더블루시티) 1층",032-471-8310
1903304,인천공항제1여객터미널4F점,"인천광역시 중구 공항로 272 (운서동, 인천공항) 제1여객터미널 4층",032-743-3405
1903318,인천간석점,인천 남동구 남동대로 894,032-422-0709
1903348,송산휴게소점,경기도 화성시 송산면 평택시흥고속도로 25 (송산포도휴게소) 1층,031-355-1564
1902793,경주감포항점,경상북도 경주시 감포읍 감포로2길 54-3 B1층~2층,054-744-7700
1903158,동탄삼성SDI점,경기도 화성시 동탄오산로 29 (오산동) 동탄역 디에트르 퍼스티지 1층,1903158
1903317,세종반곡수변점,세종특별자치시 반곡동  872 청춘1번가 빌딩 1층,044-863-6555
1903337,성남모란역점,경기도 성남시 중원구 성남대로1148번길3,031-759-3353
1903247,평택소사벌점,경기 평택시 비전5로 20-45,031-692-8788
1903277,도농사거리점,경기도 남양주시 경춘로 365 (다산동) 1층,031-558-8244
1903292,강동길동역점,"서울특별시 강동구 양재대로 1461 (길동, SCMEDITOWER) 1층",02-6427-2471
1903298,인천청라중앙점,"인천광역시 서구 청라커낼로288번길 10 (청라동,더스페이스타워) 106호",032-566-2366
1903301,안성중앙대점,경기도 안성시 대덕면 서동대로 4717,031-677-6060
1903390,금정역점,"경기도 군포시 엘에스로 143 (금정동, 힐스테이트금정역) 1층 1008호",070-8680-6906
1903252,울산화봉점,울산광역시 북구 화봉로 75 (화봉동) 1층,052-288-1298
1903316,신검단풍경채점,"인천광역시 서구 동화시로 112 (불로동) JS프라자2 109, 110, 111, 112, 113호",032-565-6007
1903315,강서화곡신월점,서울특별시 강서구 화곡로 110 (화곡동) 1층,02-6737-2501
1903254,인천용마루점,"인천광역시 미추홀구 독배로 395 (용현동, 와이지메디컬센터) 1, 2층",070-8250-2882
1903258,태릉입구역점,"서울특별시 노원구 동일로 985 (공릉동, 하늘사랑교회) 1,2층",02-6953-0229
1903285,파주임진각점,경기도 파주시 문산읍 임진각로 177 (임진각) 파주임진각 3층,070-4104-0018
1903021,포이사거리점,"서울특별시 강남구 개포로15길 6 (개포동) B1층, 1층",02-6368-1245
1903156,대전갈마점,"대전 서구 신갈마로 186, 125호(갈마동)",042-521-0788
1903278,광주동명동카페거리점,광주광역시 동구 동명로 12 (장동) 한스빌딩 1층,062-234-0023
1903255,잠실레이크팰리스점,"서울특별시 송파구 석촌호수로 160 (삼전동, 수연빌딩) 1층",070-7543-2304
1903118,학동역점,서울특별시 강남구 학동로 177 (논현동),02-2138-1005
1903239,센텀강변점,부산 해운대구 수영강변대로 278,051-783-2007
1903069,아산세교와노점,충남 아산시 배방읍 세교리 1556 와노타워 1층,041-5311-0374
1903162,의왕백운호수점,"경기도 의왕시 백운중앙로3길 7 (학의동) 112,113,114,115",031-423-1207
1903226,인천백병원점,인천광역시 동구 염전로40번길 74 (송림동) 1층,032-710-5339
1903228,대구성서홈플러스점,대구광역시 달서구 달구벌대로 1467 (용산동) 성서홈플러스 B1층,053-565-1363
1903261,고양삼송점,경기 고양시 덕양구 삼송로 94-22,02-371-2332
1903269,수원고등점,경기 수원시 팔달구 고등동 141-17 코압빌딩 1층,031-242-4465
1903284,오산휴게소(과천)점,"경기도 오산시 수도권제2순환고속도로 13 (지곶동, 오산휴게소(과천방향)) 오산휴게소 과천방향",031-370-5550
1903222,미사강변SKV1센터점,"경기도 하남시 미사강변한강로 155 (망월동,미사강변SKV1center) 151~154호",031-5175-1973
1903061,동탄2시범단지점,경기도 화성시 동탄대로시범길 148-58,031-377-3719
1903150,수원아이파크시티점,"경기도 수원시 권선구 동수원로177번길 90 (권선동,수원아이파크시티9단지) 1층",031-235-7300
1903257,수원북문점,경기도 수원시 장안구 팔달로 269,031-251-1123
1903152,강릉유천지구점,강원도 강릉시 사임당로 131 (홍제동) 1층,033-645-8125
1903161,이천장호원점,경기 이천시 장호원읍 장호원리 109-1,031-641-7070
1903229,시흥장현점,경기도 시흥시 장현능곡로 9 (장곡동) 장현프라자1층,031-314-2604
1903260,화성동탄목동점,경기도 화성시 동탄순환대로 406 (목동) 우성스타시티B 1층,031-831-3864
1903262,잠실신천점,"서울특별시 송파구 백제고분로7길 9 1,3층 (잠실동)",02-415-2344
1903249,덕평휴게소(인천)점,경기도 이천시 마장면 덕이로154번길 287-76 (덕평휴게소) 덕평휴게소(인천)점,031-638-2340
1903256,덕평휴게소(강릉)점,경기도 이천시 마장면 덕이로154번길 287-76 (덕평휴게소) 덕평휴게소(강릉)점,031-634-2340
1903123,송도해수욕장점,부산광역시 서구 송도해변로 117-1  (암남동),051-231-2003
1903044,야당역점,"경기도 파주시 경의로 1046 (야당동) 이더펠리체 116호, 117호, 213호, 214호, 215호",031-935-4015
1903136,안산월피점,"경기도 안산시 상록구 예술광장로 29 (월피동,지혜빌딩) 104호~108호",031-475-3300
1903167,평창휴게소(인천)점,강원특별자치도 평창군 용평면 탑거리길 63 (평창상휴게소) 평창휴게소 인천방향,033-333-6131
1903083,여수둔덕점,전라남도 여수시 좌수영로 664 (둔덕동),061-684-6886
1903076,대전대흥센텀시티점,대전 중구 대흥동 219-1번지 센텀시티 110호~112호,042-221-7757
1902592,청평리버점,경기 가평군 청평면 삼회리 481-2,031-585-3322
1902868,익산마동자이그랜드점,전북특별자치도 익산시 선화1로 76 (마동) 지하 3층 상가동 101호,063-917-2800
1903017,등촌역점,"서울특별시 강서구 공항대로 519 (등촌동,신성빌딩) 1층",02-3664-2388
1903052,범계사거리점,경기도 안양시 동안구 경수대로 767-1 (호계동) 1층,031-429-3777
1903120,은행나무사거리점,"서울특별시 금천구 금하로 705 (시흥동, (주)남성프라자) 1층",02-2138-3306
1902971,창원귀산해변점,"경상남도 창원시 성산구 삼귀로 167 (귀곡동) 1,2층",055-289-2300
1903116,경포스카이베이점,"강원특별자치도 강릉시 해안로 476 (강문동, 스카이베이경포호텔) 로비층 1002호",033-641-2366
1903004,김해공항국제선점,부산광역시 강서구 공항진입로 108 (대저2동) 국제선청사 2층,051-941-0940
1903025,보령시청점,충남 보령시 명천동 1211,041-934-2323
1903119,속초엑스포점,강원도 속초시 엑스포로1길 31 (조양동),033-636-6660
1903112,철원와수점,강원 철원군 와수리 1153-14,033-458-6600
1903113,황학신당역점,서울특별시 중구 퇴계로 447 (황학동),02-2231-9225
1903132,울산무거점,"울산광역시 남구 대학로 128 (무거동,하늘빌딩) 1층",052-247-6466
1903038,파주LGD점,"경기도 파주시 월롱면 엘지로 245 A2동 1층(덕은리, 파주LGD산업단지)",070-4010-1715
1903019,목동사거리점,"서울특별시 강서구 등촌로 19 (수남빌딩) 1,2층 투썸플레이스",02-2135-8334
1903077,무안오룡2지구점,전라남도 무안군 일로읍 오룡남로 128 1층,061-284-2582
1903047,송도에스파이브시티점,"인천광역시 연수구 첨단대로 40 (송도동, 에스파이브시티) B동 117, 118, 119호",032-858-0001
1902393,경주보문월드점,"경상북도 경주시 보문로 539 (천군동) 1,2층",054-771-2468
1903026,신정뉴타운점,"서울특별시 양천구 신월로 164 (신월동, 승일뷰티타워2)",02-6952-5322
1903114,김포구래역점,경기도 김포시 김포한강7로 93,031-985-7255
1903007,부평산곡위브점,"인천광역시 부평구 마곡로 14 (산곡동, 부평두산위브더파크) 상가 b106, b107, b108호",032-724-8855
1903008,인천제물포역점,인천광역시 미추홀구 경인로 154,032-872-4637
1903036,순천오천점,전라남도 순천시 오천7길 26 (오천동) 1층,061-743-1153
1902928,포천DT점,경기도 포천시 소흘읍 호국로 231 1층,031-543-9933
1903035,안양예술공원점,경기도 안양시 만안구 예술공원로 131번길 8,031-474-2388
1903037,수원장안구청점,"경기도 수원시 장안구 경수대로 940 (조원동,일호골든타워) 1층",031-246-0600
1903043,김포장기점,경기 김포시 김포한강1로 77-4 1층,070-7543-6697
1903054,양주고읍점,경기 양주시 고읍남로 36,031-847-2002
1903015,분당정자점,"경기도 성남시 분당구 정자일로 240 (정자동, 월드프라자) 1층",031-8039-6611
1903060,함안휴게소(하)점,경상남도 함안군 군북면 현포로 205 (함안휴게소 부산방향) 함안휴게소 부산방향,055-582-2191
1902627,마산호계점,경남 창원시 마산회원구 내서읍 호계본동로 29 주건축물제1동 104호,055-603-1129
1903031,광주대점,광주광역시 남구 효덕로   298 (진월동),062-676-2388
1903033,기장일광신도시점,부산광역시 기장군 일광면 해빛1로 5 106호,051-721-3005
1902976,중앙대점,"서울특별시 동작구 흑석로 94 (흑석동) 1, 2층",02-6953-8627
1903013,화성능동점,경기도 화성시 여울로3길 22 (능동) 1층,070-7776-8700
1903014,광주호남대점,광주광역시 광산구 선운로 1 (선암동) 1층,062-942-4689
1903041,이서휴게소(상)점,전북특별자치도 완주군 이서면 호남고속도로 162 (이서휴게소천안방향) 1층,063-236-2592
1903005,동탄테크노밸리점,"경기도 화성시 동탄순환대로 878 (영천동) 동탄IT타워 108, 109,110호",031-8043-0134
1902881,용인외대점,경기도 용인시 처인구 모현읍 백옥대로 2412 1층,031-322-0123
1902958,광주518공원점,광주광역시 서구 상무민주로 88-1 (쌍촌동) 1층,062-375-0214
1903010,청주메리다웨딩컨벤션점,충청북도 청주시 청원구 내수읍 충청대로 400 (메리다웨딩컨벤션) 투썸플레이스,043-216-8880
1903012,칠곡석적유학로점,경상북도 칠곡군 석적읍 유학로 61,054-977-5669
