매장명,주소,전화번호
천호로데오점,"서울특별시 강동구 천호대로157길 23 , (천호동)",02-475-6969
천호마에스트로점,서울 강동구 올림픽로 691 (천호동),02-6953-1108
천호시장점,서울 강동구 구천면로 252 (천호동),02-477-0519
천호역점,"서울특별시 강동구 천호대로 997 , 1층 107호 (천호동 , 신라빌딩)",02-474-7748
천호주꾸미골목점,서울 강동구 천호옛14길 27 (성내동),02-477-6485
천호초교사거리점,"서울특별시 강동구 구천면로 305 , 덕송빌딩 1층 (천호동)",02-470-0831
강북구청점,서울 강북구 한천로139길 39 (수유동),02-6949-4210
419사거리점,"서울특별시 강북구 삼양로 510, 1층 (수유동)",02-900-1288
가오리역점,"서울특별시 강북구 삼양로 423, 1층(수유동)",02-905-0000
강북번동점,"서울특별시 강북구 한천로109가길 4, 1층 코너(번동 , 광덕빌딩)",02-980-9889
강북북부시장점,"서울특별시 강북구 한천로 981 , (번동)",02-906-9616
강북시장점,"서울특별시 강북구 한천로 1059-1 , 1층(수유동)",02-908-2325
강북우이시장점,"서울 강북구 한천로 1130 (수유동), 1층 일부",02-906-6566
광산사거리점,"서울 강북구 노해로 87 (수유동, 광산빌딩)",02-6338-7748
미아롯데점,"서울특별시 강북구 도봉로10길 38 , 1층(미아동)",02-980-6679
미아삼각산점,"서울 강북구 삼양로19길 74 (미아동, 삼각산아이원아파트), 제 402동 제2층 제102, 103호",02-989-0688
미아솔샘점,"서울 강북구 솔샘로 315 (미아동, 대오빌딩), 1층",02-988-8748
미아수유시장점,서울특별시 강북구 솔매로45길 95,02-946-1238
미아역점,"서울특별시 강북구 도봉로 201-2 , 1층(미아동)",02-988-9729
미아영훈초점,"서울특별시 강북구 숭인로 39, 111호(미아동 , 송천센트레빌)",02-988-2340
미아중앙점,"서울 강북구 도봉로 174 (미아동), 1층 104호",02-980-9888
북한산우이역점,서울 강북구 삼양로173길 26 (우이동),02-999-1278
삼양사거리점,"서울특별시 강북구 솔샘로 251, 1층(미아동)",02-988-5688
삼양시장점,"서울특별시 강북구 삼양로54길 2, 1층 (미아동)",02-988-9583
삼양점,"서울특별시 강북구 솔샘로 213-2 , 1층 (미아동)",02-982-9240
수유대한병원점,서울 강북구 노해로 11 (수유동),02-2039-0998
수유사거리점,"서울특별시 강북구 도봉로 289, 1층 (수유동)",02-989-7748
수유역점,"서울특별시 강북구 오패산로 413, 1층(번동)",02-992-2089
수유점,"서울특별시 강북구 도봉로 379 , 1층 (수유동)",02-996-7103
수유중앙점,"서울특별시 강북구 삼양로 308, 1층(수유동 , 진주빌딩)",02-983-9080
우이동점,"서울특별시 강북구 삼양로149길 10 , 1층 (우이동 , 다우에코빌)",02-999-1507
화계역점,"서울특별시 강북구 덕릉로 30 , 1층 (수유동)",02-983-8777
강서구청사거리점,서울 강서구 우장산로15길 53 (화곡동),02-6958-8554
강서구청점,"서울특별시 강서구 화곡로 326 , 1-2층 (화곡동)",02-2602-7834
가양두산위브점,"서울 강서구 공항대로45길 15 (등촌동, 가양역 두산위브)",02-2659-0779
가양등촌마을점,"서울 강서구 화곡로68길 36 (등촌동, 에이스에이존)",070-4027-1287
가양역점,"서울특별시 강서구 양천로 492 , (등촌동, 길훈엔트런스빌)1층 105호",02-3665-6635
가양중앙점,"서울특별시 강서구 양천로 461, 1층(가양동)",02-2668-7528
가양초점,"서울특별시 강서구 허준로 198, 1층(가양동)",02-3663-7448
강서가양점,"서울 강서구 강서로 511 (가양동, 한림타운)",02-3662-8087
강서등촌점,"서울특별시 강서구 공항대로61길 22, 1층(염창동)",02-2659-0002
강서세무서점,"서울특별시 강서구 공항대로 103, 판매시설2동 1층 104호(마곡동 , 마곡 엠밸리 9단지)",02-2661-1042
강서우림블루나인점,"서울특별시 강서구 양천로 583, 층123호(염창동 ,우림블루나인비즈니스센터)",02-2093-2121
강서한강자이타워점,"서울특별시 강서구 양천로 401 , (가양동, 강서한강자이타워)",02-2638-5475
개화산역점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움)",02-2666-1110
공항동주민센터점,서울 강서구 송정로4길 1-1 (공항동),02-6941-1893
공항시장역점,서울 강서구 방화동로 49-1 (방화동),02-2661-4568
까치산시장점,"서울특별시 강서구 강서로18나길 1, 1층(화곡동)",02-2691-1110
까치산역점,서울특별시 강서구 강서로 33,02-2697-0010
등촌강서고입구점,"서울 강서구 등촌로 65 (등촌동, 동양하우징)",02-2643-3330
등촌성당점,"서울특별시 강서구 공항대로41길 43 , 103호 (등촌동 , 새한프라자)",02-2659-7659
마곡GMG타워점,"서울 강서구 마곡중앙6로 16 (마곡동, 마곡지엠지타워)",02-3663-2806
마곡공진초점,"서울 강서구 마곡중앙1로 26 (마곡동, 엠리체), 1층 107호",02-2666-6999
마곡나루역점,"서울특별시 강서구 마곡중앙5로 1길 20, 1층 113호",02-2093-6511
마곡롯데캐슬르웨스트점,"서울 강서구 마곡중앙로 111 (마곡동, 롯데캐슬 르웨스트)",02-6953-0941
마곡수명산점,"서울특별시 강서구 수명로 68-35, 1층(내발산동)",02-2667-1042
마곡엠밸리7단지점,"서울 강서구 마곡서로 133 (마곡동, 마곡엠밸리7단지)",070-7722-0787
마곡역점,"서울특별시 강서구 공항대로 190, 1층(마곡동)",02-6465-8864
마곡우성타워2차점,"서울 강서구 공항대로 220 (마곡동, 우성에스비타워Ⅱ)",02-6952-6640
마곡유림점,"서울특별시 강서구 강서로 419, 1층(마곡동)",02-2668-2004
마곡중앙점,"서울특별시 강서구 마곡동로 62 , 111호(마곡동 , 마곡사이언스타워)",02-2659-9007
마곡푸르지오점,서울 강서구 방화대로34길 80 (마곡동),02-6949-0809
마곡하늬중점,"서울 강서구 공항대로 124 (마곡동, 마곡엠밸리11단지)",02-6949-3690
목동사거리점,"서울특별시 강서구 곰달래로 272 , 102호 (화곡동)",02-2062-7844
발산역점,"서울특별시 강서구 강서로 380 , (등촌동, 세민빌딩)102호",02-2658-4192
발산중앙점,"서울특별시 강서구 우장산로2길 49 , 1층(내발산동)",02-2659-7734
방화사거리점,"서울특별시 강서구 양천로 73, 1층 (방화동)",02-2661-9880
방화역점,"서울특별시 강서구 금낭화로 146, 1층 107호(방화동 , 오피앙)",02-2662-1599
방화중앙점,"서울특별시 강서구 방화동로 102, 1층(방화동)",02-2666-2818
서울염경초점,"서울 강서구 양천로69길 58 (염창동, 염창동아아파트)",02-6953-8852
송정역점,서울 강서구 공항대로 28 (공항동),02-2662-8520
신방화역점,"서울특별시 강서구 마곡중앙5로 87 , 101호(마곡동 , 우성르보아투)",02-2662-7755
양천향교역점,"서울특별시 강서구 강서로 471 , A동 105호(마곡동 , 엠코지니어스타)",02-3663-1798
염창동점,"서울 강서구 양천로 698 (염창동, 한영빌딩)",02-3661-1811
염창역점,"서울특별시 강서구 공항대로 629 , 102호 (염창동)",02-3665-7089
염창점,"서울특별시 강서구 양천로 658, 1층 101호(염창동 , 양화진빌딩)",02-3661-2918
우장산숲아이파크점,"서울 강서구 강서로 211 (화곡동), 1층 101호",02-2602-2220
우장산역점,"서울특별시 강서구 강서로45길 6 , (내발산동)1층",02-2695-2323
이대서울병원점,"서울특별시 강서구 강서로 349 , 1층 (내발산동)",02-6407-1711
증미역점,"서울 강서구 양천로 564 (등촌동, 등촌동두산위브센티움)",02-2659-9991
화곡곰달래점,서울 강서구 곰달래로 185 (화곡동),02-2602-1810
화곡남부시장점,"서울특별시 강서구 곰달래로49길 11, 1층(화곡동)",02-2699-5088
화곡본동시장점,"서울특별시 강서구 까치산로4길 3, 1층(화곡동)",02-2603-3222
화곡역점,"서울특별시 강서구 화곡로 160, 1층(화곡동)",02-2065-3722
화곡중앙시장점,"서울특별시 강서구 가로공원로76길 73, 1층(화곡동)",02-2608-3222
화곡중앙점,서울 강서구 까치산로 79 (화곡동),02-2695-9741
관악구청점,"서울특별시 관악구 관악로 164, 제1층 제111호(봉천동 , 대우디오슈페리움1단지)",02-875-0888
난곡신사시장점,서울 관악구 조원로 136 (신림동),02-838-8111
관악KT플라자점,서울 관악구 남부순환로 1784 (봉천동),02-6012-0214
관악남현점,서울 관악구 남부순환로 2060 (남현동),02-588-5553
관악은천삼거리점,서울 관악구 관악로 238 (봉천동),02-888-2308
관악인헌시장점,"서울 관악구 봉천로 615 (봉천동), 1층 1호",02-877-0111
관악청룡점,서울 관악구 쑥고개로 110 (봉천동),02-6406-8090
구로힐스테이트뉴포레점,서울 관악구 조원로 25 (신림동),070-7543-0949
낙성대역점,"서울특별시 관악구 남부순환로 1913 , 1층(봉천동)",02-875-0656
난곡사거리점,"서울 관악구 난곡로 320 (신림동, 세인빌딩)",02-851-1003
난곡우림시장점,서울 관악구 난곡로 176 (신림동),02-854-4911
난곡우체국점,"서울특별시 관악구 난곡로 268 , 1층 (신림동)",02-866-0605
난곡휴먼시아점,"서울 관악구 난곡로 60 (신림동, 산타플러스빌딩)",02-856-8885
당곡역점,"서울특별시 관악구 보라매로 2, 104호(봉천동 , 신흥빌딩)",02-875-7577
대학점,"서울특별시 관악구 호암로26가길 2 , (신림동)1층",02-822-0210
보라매동주민센터점,서울 관악구 봉천로 281 (봉천동),070-8633-0214
봉일시장점,"서울특별시 관악구 은천로 37 , 1층 (봉천동)",02-876-8090
봉천e편한세상점,"서울 관악구 쑥고개로 67-1 (봉천동), 1층",02-883-0714
봉천역점,"서울특별시 관악구 남부순환로 1740 , 1층 (봉천동, 명당빌딩)",02-878-8840
사당역점,"서울특별시 관악구 과천대로 955, 1층(남현동 , 삼오빌딩)",02-588-0656
서울남부초교점,서울 관악구 남부순환로 1541 (신림동),02-6958-8857
서울대입구역점,"서울특별시 관악구 관악로 195, 제1층 제115호(봉천동 , 관악위버폴리스)",02-871-9001
서울대입구점,"서울특별시 관악구 남부순환로 1861 , (봉천동, 덕수빌딩)1층",02-878-4825
서울대잔디광장점,"서울 관악구 관악로 1 (신림동, 서울대학교), 관악60-1동 잔디광장 B1F",02-877-0656
서울은천초점,"서울 관악구 은천로 84 (봉천동, 라이프빌딩)",02-883-0603
서원역점,"서울 관악구 신림로 272 (신림동, 대원빌딩)",02-875-1110
신대방역점,"서울특별시 관악구 난곡로 367 , 1층 (신림동 , 경신빌딩)",02-838-8133
신림난곡점,"서울특별시 관악구 난우길 8 , 1층 (신림동)",02-861-2332
신림녹두거리점,서울 관악구 대학6길 2 (신림동),02-877-7922
신림별빛거리점,서울 관악구 신림로 362 (신림동),02-6949-2113
신림신원시장입구점,서울 관악구 남부순환로172길 7 (신림동),02-838-7111
신림신원점,서울 관악구 신원로 13-1 (신림동),02-855-0111
신림신화교점,서울 관악구 신림로 201 (신림동),070-8808-0908
신림양지병원점,서울 관악구 남부순환로 1649 (신림동),02-883-2770
신림역도림천점,서울 관악구 남부순환로 1599 (신림동),02-882-8881
신림역사거리점,"서울특별시 관악구 남부순환로 1617, 1층(신림동)",02-876-2770
신림역점,"서울특별시 관악구 신림로 321 , 1층 (신림동)",02-882-1015
신림충무교점,서울 관악구 신림로 186 (신림동),02-882-0774
신림프라임법학원점,"서울특별시 관악구 신림로 90, 1층 메가커피(신림동)",02-887-6700
현대시장점,"서울특별시 관악구 은천로 113 , 1층(봉천동)",02-882-9140
건대글로벌시티점,서울 광진구 아차산로 205 (화양동),02-467-3336
건대동문회관점,서울 광진구 아차산로 290 (자양동),02-457-1117
건대스타시티몰점,"서울 광진구 아차산로 272 (자양동, 더샵스타시티)",02-6941-1108
건대스타점,"서울 광진구 능동로 121 (화양동), 1층",02-465-0656
건대입구역점,"서울특별시 광진구 아차산로 224, 1층(자양동)",02-466-3021
건대학생회관점,"서울특별시 광진구 화양동 393-1 , 1층							-",nan
건대화양제일시장점,서울 광진구 능동로13길 40 (화양동),02-466-2089
건대후문점,서울 광진구 광나루로24길 23 (화양동),02-6941-1343
광장점,"서울특별시 광진구 아차산로 537-17, 광장힐스테이트상가 1층 10호",02-454-1210
광진군자로점,서울 광진구 군자로 86 (군자동),02-499-3002
광진자양뚝섬로점,"서울 광진구 뚝섬로52길 7 (자양동, 그랜드 아파트)",02-455-2089
구의목련공원점,서울 광진구 구의로 39 (구의동),02-6949-4353
구의역점,"서울특별시 광진구 아차산로55길 11, 1층 102호(구의동 , 테라펠리스 건대 3차)",02-444-5550
구의중앙점,"서울 광진구 자양로 170 (구의동), 1층",02-452-0131
군자동주민센터점,서울 광진구 면목로 7-1 (군자동),02-462-1116
군자역점,"서울특별시 광진구 능동로 294, 1층(능동)",02-6052-7071
동서울터미널점,"서울 광진구 강변역로4길 10 (구의동, 강변역지너스타워)",02-454-1003
서울동자초점,"서울 광진구 뚝섬로 552 (자양동, 삼희빌딩)",02-454-3017
서울성자초점,서울 광진구 뚝섬로56길 25 (자양동),02-6954-7344
성수양꼬치거리점,서울 광진구 동일로 86 (자양동),070-5228-3355
신양초사거리점,"서울특별시 광진구 능동로 49, 1층(자양동)",02-465-8876
신자초사거리점,"서울특별시 광진구 뚝섬로 596, 1층(자양동)",02-455-8596
아차산역점,"서울특별시 광진구 자양로43길 47 , 1층 (중곡동)",02-447-1210
어린이대공원역점,서울 광진구 능동로 179 (화양동),02-468-8989
올림픽대교북단점,"서울 광진구 아차산로 481 (구의동, 구의동20020빌딩)",02-456-6782
자양롯데캐슬점,서울 광진구 뚝섬로 477 (자양동),02-6952-2131
자양선화예술점,서울 광진구 자양로 231 (구의동),02-2138-2132
자양시장점,"서울특별시 광진구 자양로15길 18 , 1층 (자양동 , 혜성빌딩)",02-455-5945
자양역점,서울 광진구 능동로 18 (자양동),02-466-1115
잠실대교북단점,"서울 광진구 자양로 49 (자양동), 1층",02-452-4889
중곡3동점,서울 광진구 면목로 164 (중곡동),02-466-0656
중곡대원점,"서울 광진구 용마산로 114 (중곡동, 경동빌딩)",02-458-9383
중곡사거리점,"서울특별시 광진구 영화사로 1, 1층(중곡동)",02-455-1007
중곡역점,"서울특별시 광진구 능동로 403-1 , 1층 (중곡동)",02-462-1526
중곡중앙점,"서울특별시 광진구 능동로 338-1, 1층(중곡동 , 영빌딩)",02-446-0777
구로구청점,"서울특별시 구로구 가마산로 268 , 104호 (구로동 , 대림역와이즈플레이스)",02-868-3990
개봉남부역점,"서울특별시 구로구 남부순환로97길 20-6, 1층(개봉동)",02-2617-1114
개봉북부역점,"서울특별시 구로구 경인로40길 25 , 1층 9호(개봉동 , 청실아파트)",02-2612-1230
개봉사거리점,"서울특별시 구로구 경인로 324 , 1층 (개봉동 , 성원빌딩)",02-2060-4158
개봉점,"서울특별시 구로구 개봉로 70 , 1층(개봉동)",02-2682-4158
개봉중앙점,"서울특별시 구로구 개봉로 25, 1층 101호(개봉동)",02-2684-4944
개봉푸르지오점,"서울특별시 구로구 고척로 126, 1층(개봉동)",02-2060-7267
고척중앙점,"서울 구로구 경인로 403 (고척동, 원메디타운)",02-2688-7778
구로NC점,"서울 구로구 새말로 22 (구로동), 1층",02-855-0656
구로거리공원점,"서울 구로구 구로중앙로28길 73 (구로동, 구로하우비)",02-857-5777
구로고대병원점,서울 구로구 구로동로25길 3 (구로동),02-839-7077
구로고척시장점,"서울특별시 구로구 경인로47길 107, 1층(고척동)",02-2611-6238
구로고척점,"서울특별시 구로구 고척로 239, 1층(고척동)",02-2060-6222
구로궁동점,"서울특별시 구로구 부일로15길 29, 1층(궁동)",02-6338-2889
구로깔깔거리점,"서울특별시 구로구 구로동 1125-9, 1층",02-859-5599
구로대륭포스트2차점,"서울 구로구 디지털로 306 (구로동, 대륭포스트타워2차)",02-855-1226
구로대륭포스트8차점,서울 구로구 디지털로26길 43 (구로동),02-3415-0898
구로디지털단지점,"서울특별시 구로구 디지털로31길 41 , (구로동, 이앤씨벤처드림타워6차)110호 (구로동, 이앤씨드림타워6차)",010-7440-9797
구로디지털탑프라자점,"서울특별시 구로구 디지털로26길 98, 층 104호 , 105호(구로동)",02-830-1245
구로매봉초점,"서울특별시 구로구 고척로21나길 14 , 1층 (개봉동)",02-6465-2575
구로이화교차로점,서울 구로구 도림로 89 (구로동),02-859-9992
구로주공점,"서울 구로구 구일로4길 33 (구로동, 종합상가)",02-6954-7885
구로중앙유통단지점,"서울 구로구 경인로53길 15 (구로동, 중앙유통단지)",02-2619-5338
구로항동점,"서울특별시 구로구 서해안로 2124 , (항동)",02-2686-9998
구로항동중점,"서울 구로구 연동로 233 (항동, 항동중흥에스클래스베르데카운티)",02-2615-5096
구일역점,"서울특별시 구로구 구일로10길 27, B동 1층",02-855-5111
남구로역점,서울 구로구 디지털로27길 131 (가리봉동),02-855-1110
남구로점,"서울특별시 구로구 디지털로31길 120 , 상가2동 1층 (구로동 , 한신휴플러스아파트)",02-830-1063
